Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude
11,Narayana Multi Speciality Hospital,"Basant Health Centre Building No. 1, 18th Main Rd, Sector 3, HSR Layout, Bengaluru, Karnataka ",560102,Bangalore,Karnataka,India,,,,,,12.90936557,77.64378013,GEOMETRIC_CENTER,"NABH
 (15/01/2016
 â€“
 14/01/2019)
 &
 Non-NABL","Anaesthesiology, Cardiology, Clinical Psycology, Cranio-Maxillo Facial Surgery, Critical Care,
 Dermatology, Diabetology, E.N.T, General Surgery, Genetics, Haematology, Rheumatology,
 Internal Medicine, Interventional Neurology, Medical Gastroenterology, Molecular
 Diagnostics, Nephrology, Neurosurgery, Obstetrics & Gynaecology, Oncoplastic Breast
 Surgery, Paediatric Surgery, Paediatrics, Orthopaedic,Psychiatry, Pulmonology, Radiology &
 Imaging, Reproductive Medicine, Surgical Gastroenterology, Surgical Oncology, Thoracic
 Surgery, Transfusion Medicine, Urology, Vascular Surgery, Womenâ€™s Oncology, Accident &
 EmergencyDiagnostic Services : Holter Monitoring, Echo Cardiography, TMT, Radiology &
 Imaging, Digital X-ray, CT Scan, Ultra Sonography, Bio Chemistry, Histopathology,
 Microbiology, Haematology, Clinical Pathology, Serology, Tissue Repository, EEG, ENMG,
 Frozen Section, Physiotherapy. Other Services: Dialysis, Electro Physiology Lab, Executive
 Health Check, Bronchoscopy, Colonoscopy, Nutrition & Dietetics, Cardiac Rehabilitation,
 Endoscopy, Pulmonary Function Test and any other facilities.","Lokesh Gopal
 Chavan â€“
 9730023304 â€“
 lokeshgopal.chavan
 @narayanahealth.
 org
 
 Abhishek â€“
 8217689587 â€“
 abhishek01@naray
 anahealth.org",CGHS_hospitals,1,,12.90936557,77.64378013,"Narayana Multi Speciality Hospital, Basant Health Centre Building No. 1, 18th Main Rd, Sector 3, HSR Layout, Bengaluru, Karnataka , Bangalore, 560102",12.9081024,77.6435134
12,Dr Agarwals Eye Hospital Bannerghatta Road,"16, Salapuria Zest Building, Bannerghatta Main Rd, Opposite to Shoppers Stop, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka ",560078,Bangalore,Karnataka,India,,,,,,12.91252999,77.59951126,GEOMETRIC_CENTER,"Non- NABH
 Entry level
 (15/11/2017
 â€“
 14/11/2019)
 &
 Non-NABL",EXCLUSIVE EYE CARE CENTRE,"Dheeraj E T -
 7338811880 -
 dheeraj.e@dragarw
 al.com
 
 Sethuramasamy -
 7829703550 -
 sethu.ramasamy@d
 ragarwal.com",CGHS_hospitals,1,,12.91226121,77.59956711,"Dr Agarwals Eye Hospital Bannerghatta Road, 16, Salapuria Zest Building, Bannerghatta Main Rd, Opposite to Shoppers Stop, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka , Bangalore, 560078",12.9122372,77.5995649
13,Netra Enterprise Prabha Eye Clinic,"504, 40th Cross Rd, 8th Block, Jayanagar, Bengaluru, Karnataka ",560070,Bangalore,Karnataka,India,,,,,,12.92024181,77.57528496,0,"NABH
 (06/08/2017
 -
 05/08/2020)
 
 &
 NON NABL",EXCLUSIVE EYE CARE CENTRE,"G Varun Kumar -
 8105616002 -
 insurance@
 prabhaeyeclinic.co
 m
 
 Parvathi -
 9742987322 -
 insurance@prabhae
 yeclinic.com",CGHS_hospitals,1,,12.91998204,77.57526301,"Netra Enterprise Prabha Eye Clinic, 504, 40th Cross Rd, 8th Block, Jayanagar, Bengaluru, Karnataka , Bangalore, 560070",12.919701,77.5753532
14,"The Eye Foundation
","Cluster bellanduru 6 Srinivas Diamond Apartment, Outer Ring Rd, opp. Toyota Showroom, Diagonally, Bellandur, Bengaluru, Karnataka ",560103,Bangalore,Karnataka,India,,,,,,12.92366159,77.67238863,0,"NABH
 ( 01/08/2016
 -
 31/07/2019)
 &
 Non NABL",EXCLUSIVE EYE CARE CENTRE,"Manjunath -
 8618842990 -
 manjunath.6000@g
 mail.com
 
 Mary Sheela -
 9972033005 -
 sheela.im@gmail.co
 m",CGHS_hospitals,1,,12.92352505,77.67238206,"The Eye Foundation
, Cluster bellanduru 6 Srinivas Diamond Apartment, Outer Ring Rd, opp. Toyota Showroom, Diagonally, Bellandur, Bengaluru, Karnataka , Bangalore, 560103",12.9235858,77.67247
15,Hindu Mission Hospital,"103, Grand Southern Trunk Rd, New Market, Tambaram West, Tambaram, Chennai, Tamil Nadu ",600045,Chennai,Tamil Nadu,India,,,,,,12.92431287,80.11385056,ROOFTOP,NABH,General,044 2226 2244,CGHS_hospitals,1,,12.9240402,80.113902,"Hindu Mission Hospital, 103, Grand Southern Trunk Rd, New Market, Tambaram West, Tambaram, Chennai, Tamil Nadu , Chennai, 600045",12.9236633,80.1141179
16,Nethradhama Super speciality Eye Hosptal,"256/14, Kanakapura Rd, opp. ICICI BAnk, 7th Block, Jayanagar, Bengaluru, Karnataka ",560070,Bangalore,Karnataka,India,,,,,,12.92897095,77.57764868,GEOMETRIC_CENTER,"NABH
 (19/08/2018
 -",EXCLUSIVE EYE CARE CENTRE,"Vadiraj.H.S -
 9449003770,",CGHS_hospitals,1,,12.92531175,77.57730253,"Nethradhama Super speciality Eye Hosptal, 256/14, Kanakapura Rd, opp. ICICI BAnk, 7th Block, Jayanagar, Bengaluru, Karnataka , Bangalore, 560070",12.9252924,77.5773042
17,SSNMC Super Specialty Hospital,"NO. 8, Ideal homes HBCS Layout, Rajarajeshwari Nagar , Bengaluru Bangalore, Karnataka ",560098,Bangalore,Karnataka,India,,,,,,12.92686151,77.521041,GEOMETRIC_CENTER,"-
 15/09/2020)
 &
 Non-NABL","facility,Fully operational laboratory,blood bank with component separation, State of the art Radiology, Nuclear pulmonology, Liver & Gall Bladder, GI Imaging, Nuclear Urology, Nuclear
 Lynph Node Imaging, Bone Imaging, Brain PET Scan, Cardiac PET Scan, Oncology. F18 PET
 BoneScan,RaidioiodineTheraphy,MbgTheraphy,Samariuym153Theraphy,Yâ€“90
 Synovectomy, Y90- Tare, Ultrasound, X â€“ Ray, 2D Echo, Audiometry, EEG, EMG / EP, Holter
 Monitoring, Spirometry, Tread Mill Testing, Urodynamic Studies.
 Clinical Support Departments / Services:
 Ambulance, Blood Bank / Blood Transfusions Services, Dietetics, Audiology, Psychology,
 Rehabilitation (Occupational Therapy, Physiotherapy).
 Modular operation theatres â€“ 15 noâ€™s with dedicated theatres for all specialties with
 individual AHU with HEPA filters and advanced facility for segregation of sterile
 and unsterile material, Advance CSSD facility with a short turnaround time for
 sterilization,Gen Medicine, Gen and Minimal Access surgery, Obstetrics and
 Gynaecology,Dermatology and cosmetology, Orthopaedics and trauma care. Advanced
 facilities for joint replacement surgeries and endoscopic surgeries, ENT, Ophthalmology,
 Neonatology and NICU â€“ 15 bedded level III, MICU â€“ 20 Bedded facility,Coronary Care Unit â€“
 10 bedded facility, Intensive therapy Unit â€“ 10 bedded, Fully functional cardiac Cath lab,
 Paediatric intensive care unit â€“ 6 bedded, Neuro intensive care â€“ 6 bedded,Medical
 gastroenterology Day care facility for Endoscopic, colonoscopic& other Procedures, Surgical
 Gastroenterology& Liver Care,Nephrology with state of the DIALYSIS centre with a full
 capacity of 24 beds with separate areas for positive cases,Urology, Medical oncology, Surgical
 Oncology & Haematology departments, Neurology with facility for EEG, ENMG and sleep lab,
 Neurosurgery with dedicated ICU, Medical and surgical oncology to cater to advanced cancer
 care, State of the art PHYSIOTHERAPY department with an attached GYM for sports related
 injuries,In house canteen and laundry facility
 Cardiology with a state of the art cath lab, ECG, Treadmill facility and ECHOCARDIOGRAPHY
 facility,Cardiac surgery with dedicated theatres for advanced cardiac surgical care,Dedicated
 Health check centre for all categories of people with customized package.","sharath.gowda@ss
 nmc.com
 
 Dr. Smitha
 9513466068 ,
 smitha.thammaiah
 @ssnmc.com",CGHS_hospitals,1,,12.92662253,77.52104355,"SSNMC Super Specialty Hospital, NO. 8, Ideal homes HBCS Layout, Rajarajeshwari Nagar , Bengaluru Bangalore, Karnataka , Bangalore, 560098",12.9265673,77.5217483
18,"Bangalore Nethralaya
","No-950, 21st Main Rd, near BDA Shopping Complex, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru, Karnataka ",560070,Bangalore,Karnataka,India,,,,,,12.93091574,77.56362786,0,"Non NABH
 &
 Non NABL",EXCLUSIVE EYE CARE CENTRE,"G Krishna Prasad -
 9632662012
 bangalorenethralay
 a@gmail.com",CGHS_hospitals,1,,12.92724,77.56578,"Bangalore Nethralaya
, No-950, 21st Main Rd, near BDA Shopping Complex, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru, Karnataka , Bangalore, 560070",12.9237666,77.567819
19,Sagar Hospitals Jayanagar,"44, 54, 30th Cross Rd, Bannerughatta Approach Road Layout, 4th T Block East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka ",560041,Bangalore,Karnataka,India,,,,,,12.92828435,77.59962913,ROOFTOP,"NABH
 (17/02/2018
 -
 16/02/2021)
 &
 NABL
 (04/06/2017
 -
 06/03/2019)","Cardiology, Anesthesiology, General Surgery, Neonatology, Nephrology, Neurosurgery,
 Pediatrics, Physiotherapy, Psychology, Pulmonology/Respiratory Medicine, Radiology &
 Imaging ,Transfusion Medicine Urology, Vascular Surgery, Diagnostic Services.","Prashanth Kumar B
 R
 9591991849
 Corp.jnr@sagarhos
 pitals.in
 
 Satyanarayana
 9591991882
 billingmgr@sagarh
 ospitals.in",CGHS_hospitals,1,,12.92803523,77.59962253,"Sagar Hospitals Jayanagar, 44, 54, 30th Cross Rd, Bannerughatta Approach Road Layout, 4th T Block East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka , Bangalore, 560041",12.9285966,77.596215
20,Nirmals Eye Hospital,"108, Ayyasamy St, Tambaram West, Tambaram, Chennai, Tamil Nadu ",600045,Chennai,Tamil Nadu,India,,,,,,12.93110191,80.11605466,ROOFTOP,NON NABH,Eye Hospital,044 2226 6175,CGHS_hospitals,1,,12.93004523,80.11615532,"Nirmals Eye Hospital, 108, Ayyasamy St, Tambaram West, Tambaram, Chennai, Tamil Nadu , Chennai, 600045",12.930044,80.116152
21,(w.e.f 17/11/2014),"7th block
 Bangalore 560082,
 ",,Bangalore,Karnataka,India,,,,,,12.930535,77.5784397,ROOFTOP,"18/08/2020)
 &
 Non-NABL",,"pr@nethredhama.o
 rg
 
 Sahana -
 9845594735 -
 corporates@nethre
 dhama.org",CGHS_hospitals,,Incomplete info,,,"(w.e.f 17/11/2014), 7th block
 Bangalore 560082,
 , Bangalore, ",12.9246027,77.5741256
22,Vittala International Institute of Ophthalmology,"Site No. 1, 2nd Main, 2nd Cross, Banashankari III Stage, 7th Block, Hoskerehalli, Bengaluru, Karnataka ",560085,Bangalore,Karnataka,India,,,,,,12.93066662,77.54136322,GEOMETRIC_CENTER,,,"Suma Manjunath -
 8971478466 -
 suma@viio.org",CGHS_hospitals,1,,12.93066211,77.54135652,"Vittala International Institute of Ophthalmology, Site No. 1, 2nd Main, 2nd Cross, Banashankari III Stage, 7th Block, Hoskerehalli, Bengaluru, Karnataka , Bangalore, 560085",12.9306628,77.5413485
23,Sakra World Hospital,"SY NO 52/2 & 52/3, Devarabeesanahalli, Varthur Hobli Opp Intel, Outer Ring Rd, Marathahalli, Bengaluru, Karnataka ",560103,Bangalore,Karnataka,India,,,,,,12.93255753,77.68524225,GEOMETRIC_CENTER,"NABH
 (15/01/2016
 -
 14/01/2019)
 &
 NABL
 (06/05/2017
 -
 05/05/2019)","Anesthesiology, Cardiac Anesthesia , Cardiology , Cardiothoracic Surgery, Cosmetic Surgery,
 Critical Care, Dental Sciences, Dermatology, Diabetology, Dialysis, Emergency Medicine,
 Endocrinology, ENT, Fertility, Fetal Medicine, General Medicine, General Surgery, Hepatology,
 Hepato-Pancreato-Biliary Surgery, Interventional Radiology, IVF, Medical Gastroenterology,
 Neonatology, Nephrology, Neurology, Neurosurgery, OBG, EYE, Medical Oncology, Surgical
 Oncology, Orthopedics, Orthopedic Surgery Including Joint replacement, Pediatric Surgery,
 Pediatrics, Plastic and Reconstructive Surgery, Psychiatry, Pulmonology , Rheumatology,
 Sleep Study, Spine Surgery, Surgical Gastroenterology, Urology, Vascular Surgery, Liver
 Transplant, Kidney Transplant , Ambulance, Blood Bank / Transfusion Services, Dietetics,
 Psychology, Rehabilitation, Occupational Therapy, Physiotherapy, Speech and Language
 Therapy, Sports Medicine, Audiometry, Bone Densitometry, CT Scanning, DSA Lab, ECG, EEG,
 Holter Monitoring, Mammography, MRI, PET, Spirometry, Tread Mill Test, Ultrasound, Ultra
 Dynamic Studies, X-Ray , Bio-chemistry,Microbiology and Serology, Pathology, Cytopathology,
 Genetics, Hematology, Histopathology.","Sunil Kumar
 Pradhan -
 9886583851 -
 sunilkumar.pradha
 n@sakraworldhosp
 ital.com
 
 Dr. Theanmozhi
 Yatish -
 9945278736-
 theanmozhi.yatish
 @sakraworldhospit
 al.com",CGHS_hospitals,1,,12.9323311,77.6851912,"Sakra World Hospital, SY NO 52/2 & 52/3, Devarabeesanahalli, Varthur Hobli Opp Intel, Outer Ring Rd, Marathahalli, Bengaluru, Karnataka , Bangalore, 560103",12.9116222,77.6641897
24,Apollo Speciality Hospital Jayanagar,"21/2, 14th Cross Road, near Madhavan Park Circle, Jayanagar East, Jayanagar, Bengaluru, Karnataka ",560011,Bangalore,Karnataka,India,,,,,,12.93665357,77.58430694,0,"Non NABH
 Entry Level
 (15/11/2017
 â€“
 14/11/2019)
 &
 Non-NABL","Orthopaedics: Total Joint Replacement â€“ (Knee, Hip and Shoulder), Hand & Peripheral Nerve
 Surgery, Shoulder & Elbow Surgery, Foot & ankle Surgery, Arthroscopic Repair.Pulmonology
 & Interventional Pulmonology, Neurology, Neuro Surgery, Emergency & Trauma, Internal
 Medicine, General Surgery, GI Surgery & Minimal Access Surgery, Endocrinology,
 Rheumatology, Nephrology, Opthamology, Dermatology, ENT, Cardiology, Obstetrics &
 Gynaecology (out patient service), Oncology (Medical & Surgical), Vascular Surgery, Urology,
 Psychiatry( Outpatient service), Geriatrics, Plastic Surgery, Health Checks, Critical care,
 Maxillofacial Surgery, Radiology.
 Allied Services: Dialysis, Physiotherapy, Nutrition & Dietectics and any other facilities","Dr. Umesh â€“
 9845989987 â€“
 drumesh_n@apollo
 hospitals.com
 
 Dr. Prakash-
 9620215465 â€“
 drprakash_k@apoll
 ohospitals.com",CGHS_hospitals,1,,12.93643251,77.58433212,"Apollo Speciality Hospital Jayanagar, 21/2, 14th Cross Road, near Madhavan Park Circle, Jayanagar East, Jayanagar, Bengaluru, Karnataka , Bangalore, 560011",12.936434,77.5843284
25,"Dental Health
 Clinic
 
 (w.e.f 25/03/2015)","150, 5th Cross,
 Koramangala, 5th
 Block, Next to Juice
 Junction,
 Bengaluru560095
",,Bangalore,Karnataka,India,,,,,,12.9366162,77.620274,GEOMETRIC_CENTER,"Non-NABH
 &
 Non-NABL",DENTAL CARE,"Mrs. Mary -
 9845507207 â€“
 dr_prasad_jili@yah
 oo.co.in
 
 Mrs. Hema Prasad -
 7892567141 -
 hema.prasad121@
 gmail.com",CGHS_hospitals,0,,,,"Dental Health
 Clinic
 
 (w.e.f 25/03/2015), 150, 5th Cross,
 Koramangala, 5th
 Block, Next to Juice
 Junction,
 Bengaluru560095
, Bangalore, ",12.9352156,77.6199608
26,Karthik Netralaya Eye Hospital,"89, 6th Cross Rd, CK Nagar, Ashok Nagar, Banashankari Stage I, Basavanagudi, Bengaluru, Karnataka ",560050,Bangalore,Karnataka,India,,,,,,12.93798075,77.56512953,ROOFTOP,"Non-NABH
 Entry Level
 (03/12/2016
 -
 02/12/2018)
 &
 Non-NABL",EXCLUSIVE EYE CARE CENTRE,"Deepa.M.S. -
 9886789799 -
 info@karthiknetral
 aya.com
 
 Nagalakshmi G.-
 9886789799 -
 info@karthiknetral
 aya.com",CGHS_hospitals,1,,12.93773211,77.5650876,"Karthik Netralaya Eye Hospital, 89, 6th Cross Rd, CK Nagar, Ashok Nagar, Banashankari Stage I, Basavanagudi, Bengaluru, Karnataka , Bangalore, 560050",12.9377153,77.5651462
27,"Devi Super Speciality Eye Hospital Pvt Ltd
 ","434, 18th Main ,80 Feet Main Road, 6th Block, Koramangala, Bengaluru, Karnataka",560095,Bangalore,Karnataka,India,,,,,,12.94305086,77.62354096,0,"NABH
 (16/04/2018
 -
 15/04/2020)
 &
 NON NABL",EXCLUSIVE EYE CARE CENTRE,"Bharathi G Mohan â€“
 9880570094
 
 Tulasi -
 7259175326 -
 tulasirao-
 1983@gmail.com",CGHS_hospitals,1,,12.94095,77.62411,"Devi Super Speciality Eye Hospital Pvt Ltd
 , 434, 18th Main ,80 Feet Main Road, 6th Block, Koramangala, Bengaluru, Karnataka, Bangalore, 560095",12.9409461,77.624114
28,Parvathy Hospital,"241, GST Road Chromepet, Near MIT Bridge, Chennai, Tamil Nadu ",600044,Chennai,Tamil Nadu,India,,,,,,12.94660577,80.13651911,GEOMETRIC_CENTER,NON NABL,General,044 2238 2248,CGHS_hospitals,1,,12.94608125,80.13656112,"Parvathy Hospital, 241, GST Road Chromepet, Near MIT Bridge, Chennai, Tamil Nadu , Chennai, 600044",12.9459046,80.1365663
29,"Sri Shankara Cancer Hospital & Research Centre
 ","1st Cross, Shankara Matt Premises, Shankarapuram, Basavanagudi, Bengaluru, Karnataka ",560004,Bangalore,Karnataka,India,,,,,,12.95418225,77.57119202,GEOMETRIC_CENTER,"Non NABH
 &
 Non NABL","Radiology, Radiation Oncology, Medical Oncology, Surgical Oncology, Anaesthsiology,
 Gastroenterology, Urology, Psycho-Oncology/Psychiatry, Plastic and Reconstructive Surgery,
 Neurosurgery, Paediatric Surgery, Pulmonology, Orthopedics, Physiotherapy, Blood
 Transfusion services, Diagnostic Services.","Raghavendra -
 9535074408,
 raghuu74408@gm
 ail.com
 
 Anil Kumar.V.R -
 9844611171,
 anilkumarvr143@g
 mail.com",CGHS_hospitals,1,,12.95406153,77.57119365,"Sri Shankara Cancer Hospital & Research Centre
 , 1st Cross, Shankara Matt Premises, Shankarapuram, Basavanagudi, Bengaluru, Karnataka , Bangalore, 560004",12.950285,77.570145
