Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude,Postcode_py,address_py,Manual Score,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance,BWTRLENCD Distance,Monge Elkan Distance*10,Auto Score
12,Dr Agarwals Eye Hospital Bannerghatta Road,"16, Salapuria Zest Building, Bannerghatta Main Rd, Opposite to Shoppers Stop, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka ",560078,Bangalore,Karnataka,India,,,,,,12.91252999,77.59951126,GEOMETRIC_CENTER,"Non- NABH
 Entry level
 (15/11/2017
 â€“
 14/11/2019)
 &
 Non-NABL",EXCLUSIVE EYE CARE CENTRE,"Dheeraj E T -
 7338811880 -
 dheeraj.e@dragarw
 al.com
 
 Sethuramasamy -
 7829703550 -
 sethu.ramasamy@d
 ragarwal.com",CGHS_hospitals,1,,12.91226121,77.59956711,"Dr Agarwals Eye Hospital Bannerghatta Road, 16, Salapuria Zest Building, Bannerghatta Main Rd, Opposite to Shoppers Stop, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka , Bangalore, 560078",12.9122372,77.5995649,560076,"Dr Agarwals Eye Hospital Ltd, Bannerghatta Road, Casa Ansal, J P Nagar, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560076, India",,0.403225806,0.867808841,0.766497462,0.869887255,0.002587004,0.2,0.025870043,0.708765693
13,Netra Enterprise Prabha Eye Clinic,"504, 40th Cross Rd, 8th Block, Jayanagar, Bengaluru, Karnataka ",560070,Bangalore,Karnataka,India,,,,,,12.92024181,77.57528496,0,"NABH
 (06/08/2017
 -
 05/08/2020)
 
 &
 NON NABL",EXCLUSIVE EYE CARE CENTRE,"G Varun Kumar -
 8105616002 -
 insurance@
 prabhaeyeclinic.co
 m
 
 Parvathi -
 9742987322 -
 insurance@prabhae
 yeclinic.com",CGHS_hospitals,1,,12.91998204,77.57526301,"Netra Enterprise Prabha Eye Clinic, 504, 40th Cross Rd, 8th Block, Jayanagar, Bengaluru, Karnataka , Bangalore, 560070",12.919701,77.5753532,560070,"Prabha Eye Clinic and Research Centre, 40th Cross Road, Jayanagar 8th Block, Shakambari Nagar, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, Bengaluru Division, 560070, India",0.8,0.370731707,0.685839732,0.538095238,0.726541639,0.004201379,0.175438596,0.042013789,0.599128495
14,"The Eye Foundation
","Cluster bellanduru 6 Srinivas Diamond Apartment, Outer Ring Rd, opp. Toyota Showroom, Diagonally, Bellandur, Bengaluru, Karnataka ",560103,Bangalore,Karnataka,India,,,,,,12.92366159,77.67238863,0,"NABH
 ( 01/08/2016
 -
 31/07/2019)
 &
 Non NABL",EXCLUSIVE EYE CARE CENTRE,"Manjunath -
 8618842990 -
 manjunath.6000@g
 mail.com
 
 Mary Sheela -
 9972033005 -
 sheela.im@gmail.co
 m",CGHS_hospitals,1,,12.92352505,77.67238206,"The Eye Foundation
, Cluster bellanduru 6 Srinivas Diamond Apartment, Outer Ring Rd, opp. Toyota Showroom, Diagonally, Bellandur, Bengaluru, Karnataka , Bangalore, 560103",12.9235858,77.67247,560103,"The Eye Foundation, Bellanduru Main Road, Green Glen Layout, Bellanduru, Mahadevapura Zone, Bengaluru, Bangalore East, Bengaluru Urban District, Karnataka, 560103, India",0.85,0.347058824,0.851814927,0.720812183,0.837761757,0.002750865,0.203947368,0.027508651,0.680866363
15,Hindu Mission Hospital,"103, Grand Southern Trunk Rd, New Market, Tambaram West, Tambaram, Chennai, Tamil Nadu ",600045,Chennai,Tamil Nadu,India,,,,,,12.92431287,80.11385056,ROOFTOP,NABH,General,044 2226 2244,CGHS_hospitals,1,,12.9240402,80.113902,"Hindu Mission Hospital, 103, Grand Southern Trunk Rd, New Market, Tambaram West, Tambaram, Chennai, Tamil Nadu , Chennai, 600045",12.9236633,80.1141179,600045,"Hindu Mission Hospital, Tambaram - Mudichur - Sriperumbudur Road, Irumbuliyur, Tambaram, Chengalpattu District, Tamil Nadu, 600045, India",0.9,0.445255474,0.841399551,0.635802469,0.777807195,0.003692627,0.191666667,0.03692627,0.688142235
16,Nethradhama Super speciality Eye Hosptal,"256/14, Kanakapura Rd, opp. ICICI BAnk, 7th Block, Jayanagar, Bengaluru, Karnataka ",560070,Bangalore,Karnataka,India,,,,,,12.92897095,77.57764868,GEOMETRIC_CENTER,"NABH
 (19/08/2018
 -",EXCLUSIVE EYE CARE CENTRE,"Vadiraj.H.S -
 9449003770,",CGHS_hospitals,1,,12.92531175,77.57730253,"Nethradhama Super speciality Eye Hosptal, 256/14, Kanakapura Rd, opp. ICICI BAnk, 7th Block, Jayanagar, Bengaluru, Karnataka , Bangalore, 560070",12.9252924,77.5773042,560011,"Netradhama Hospital, Kanakapura Road, Jayanagar 7th Block, Karisandra Ward, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560011, India",0.75,0.343373494,0.699297189,0.64893617,0.789086368,0.003279321,0.19858156,0.03279321,0.619338671
17,SSNMC Super Specialty Hospital,"NO. 8, Ideal homes HBCS Layout, Rajarajeshwari Nagar , Bengaluru Bangalore, Karnataka ",560098,Bangalore,Karnataka,India,,,,,,12.92686151,77.521041,GEOMETRIC_CENTER,"-
 15/09/2020)
 &
 Non-NABL","facility,Fully operational laboratory,blood bank with component separation, State of the art Radiology, Nuclear pulmonology, Liver & Gall Bladder, GI Imaging, Nuclear Urology, Nuclear
 Lynph Node Imaging, Bone Imaging, Brain PET Scan, Cardiac PET Scan, Oncology. F18 PET
 BoneScan,RaidioiodineTheraphy,MbgTheraphy,Samariuym153Theraphy,Yâ€“90
 Synovectomy, Y90- Tare, Ultrasound, X â€“ Ray, 2D Echo, Audiometry, EEG, EMG / EP, Holter
 Monitoring, Spirometry, Tread Mill Testing, Urodynamic Studies.
 Clinical Support Departments / Services:
 Ambulance, Blood Bank / Blood Transfusions Services, Dietetics, Audiology, Psychology,
 Rehabilitation (Occupational Therapy, Physiotherapy).
 Modular operation theatres â€“ 15 noâ€™s with dedicated theatres for all specialties with
 individual AHU with HEPA filters and advanced facility for segregation of sterile
 and unsterile material, Advance CSSD facility with a short turnaround time for
 sterilization,Gen Medicine, Gen and Minimal Access surgery, Obstetrics and
 Gynaecology,Dermatology and cosmetology, Orthopaedics and trauma care. Advanced
 facilities for joint replacement surgeries and endoscopic surgeries, ENT, Ophthalmology,
 Neonatology and NICU â€“ 15 bedded level III, MICU â€“ 20 Bedded facility,Coronary Care Unit â€“
 10 bedded facility, Intensive therapy Unit â€“ 10 bedded, Fully functional cardiac Cath lab,
 Paediatric intensive care unit â€“ 6 bedded, Neuro intensive care â€“ 6 bedded,Medical
 gastroenterology Day care facility for Endoscopic, colonoscopic& other Procedures, Surgical
 Gastroenterology& Liver Care,Nephrology with state of the DIALYSIS centre with a full
 capacity of 24 beds with separate areas for positive cases,Urology, Medical oncology, Surgical
 Oncology & Haematology departments, Neurology with facility for EEG, ENMG and sleep lab,
 Neurosurgery with dedicated ICU, Medical and surgical oncology to cater to advanced cancer
 care, State of the art PHYSIOTHERAPY department with an attached GYM for sports related
 injuries,In house canteen and laundry facility
 Cardiology with a state of the art cath lab, ECG, Treadmill facility and ECHOCARDIOGRAPHY
 facility,Cardiac surgery with dedicated theatres for advanced cardiac surgical care,Dedicated
 Health check centre for all categories of people with customized package.","sharath.gowda@ss
 nmc.com
 
 Dr. Smitha
 9513466068 ,
 smitha.thammaiah
 @ssnmc.com",CGHS_hospitals,1,,12.92662253,77.52104355,"SSNMC Super Specialty Hospital, NO. 8, Ideal homes HBCS Layout, Rajarajeshwari Nagar , Bengaluru Bangalore, Karnataka , Bangalore, 560098",12.9265673,77.5217483,560098,"SS Sparsh Hospital, 18th Cross Road, Ideal Homes Layout, Rajarajeshwari Nagar, Rajarajeshwari Nagar Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560098, India",0.8,0.451086957,0.77812872,0.654639175,0.799897843,0.003569716,0.251612903,0.03569716,0.685295119
18,"Bangalore Nethralaya
","No-950, 21st Main Rd, near BDA Shopping Complex, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru, Karnataka ",560070,Bangalore,Karnataka,India,,,,,,12.93091574,77.56362786,0,"Non NABH
 &
 Non NABL",EXCLUSIVE EYE CARE CENTRE,"G Krishna Prasad -
 9632662012
 bangalorenethralay
 a@gmail.com",CGHS_hospitals,1,,12.92724,77.56578,"Bangalore Nethralaya
, No-950, 21st Main Rd, near BDA Shopping Complex, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru, Karnataka , Bangalore, 560070",12.9237666,77.567819,560070,"Hari Super Sandwich, 24th Cross Road, Banashankari 2nd Stage, Ganesh Mandir ward, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560070, India",0.6,0.255813953,0.715786759,0.69,0.816696734,0.00279431,0.208053691,0.027943098,0.60878546
19,Sagar Hospitals Jayanagar,"44, 54, 30th Cross Rd, Bannerughatta Approach Road Layout, 4th T Block East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka ",560041,Bangalore,Karnataka,India,,,,,,12.92828435,77.59962913,ROOFTOP,"NABH
 (17/02/2018
 -
 16/02/2021)
 &
 NABL
 (04/06/2017
 -
 06/03/2019)","Cardiology, Anesthesiology, General Surgery, Neonatology, Nephrology, Neurosurgery,
 Pediatrics, Physiotherapy, Psychology, Pulmonology/Respiratory Medicine, Radiology &
 Imaging ,Transfusion Medicine Urology, Vascular Surgery, Diagnostic Services.","Prashanth Kumar B
 R
 9591991849
 Corp.jnr@sagarhos
 pitals.in
 
 Satyanarayana
 9591991882
 billingmgr@sagarh
 ospitals.in",CGHS_hospitals,1,,12.92803523,77.59962253,"Sagar Hospitals Jayanagar, 44, 54, 30th Cross Rd, Bannerughatta Approach Road Layout, 4th T Block East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka , Bangalore, 560041",12.9285966,77.596215,560029,"Masjid-e-Husna, Swagath Road, Tilak Nagar, Jayanagar Ward, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560029, India",0.7,0.255952381,0.692589769,0.625641026,0.771102401,0.002728175,0.221428571,0.027281746,0.592904739
20,Nirmals Eye Hospital,"108, Ayyasamy St, Tambaram West, Tambaram, Chennai, Tamil Nadu ",600045,Chennai,Tamil Nadu,India,,,,,,12.93110191,80.11605466,ROOFTOP,NON NABH,Eye Hospital,044 2226 6175,CGHS_hospitals,1,,12.93004523,80.11615532,"Nirmals Eye Hospital, 108, Ayyasamy St, Tambaram West, Tambaram, Chennai, Tamil Nadu , Chennai, 600045",12.930044,80.116152,600045,"Tambaram, Chengalpattu District, Tamil Nadu, 600045, India",0.7,0.264705882,0.583457291,0.467889908,0.663064984,0.00432526,0.172413793,0.043252595,0.524944778
22,Vittala International Institute of Ophthalmology,"Site No. 1, 2nd Main, 2nd Cross, Banashankari III Stage, 7th Block, Hoskerehalli, Bengaluru, Karnataka ",560085,Bangalore,Karnataka,India,,,,,,12.93066662,77.54136322,GEOMETRIC_CENTER,,,"Suma Manjunath -
 8971478466 -
 suma@viio.org",CGHS_hospitals,1,,12.93066211,77.54135652,"Vittala International Institute of Ophthalmology, Site No. 1, 2nd Main, 2nd Cross, Banashankari III Stage, 7th Block, Hoskerehalli, Bengaluru, Karnataka , Bangalore, 560085",12.9306628,77.5413485,560085,"Vittala International Institute Of Ophthalmology, Hosakerehalli, 6h Main Road Dattatreyanagar, Hosakerehalli, Hosakerehalli Ward, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560085, India",0.9,0.472727273,0.862765485,0.704347826,0.832797573,0.00278867,0.177777778,0.027886696,0.711452318
